,book_title,author,link,price_no_disc,price_with_disc
677,Python: Leverage benefits of machine learning techniques...,"David Julian, Sebastian Raschka,  et al.",https://bookshop.org//books/python-leverage-benefits-of-machine-learning-techniques-using-python/9781787128576,$107.99,$107.99
678,Python X Hacking Bundle: An In-Depth Bundle Into the...,The Code Academy,https://bookshop.org//books/python-x-hacking-bundle-an-in-depth-bundle-into-the-essentials-of-python-and-hacking/9781546891697,$42.18,$42.18
679,Python Programming Techniques: The Art of Coding and...,Lance Gifford,https://bookshop.org//books/python-programming-techniques-the-art-of-coding-and-programming-explained/9781632873187,$6.93,$6.93
680,Machine Learning with Python: Understanding Machine Learning...,IV Robert Wilson,https://bookshop.org//books/machine-learning-with-python-understanding-machine-learning-with-python-in-the-world-of-data-science/9781548405144,$16.38,$16.38
681,Python Guide: Clear Introduction to Python Programming and...,Alex Campbell,https://bookshop.org//books/python-guide-clear-introduction-to-python-programming-and-machine-learning/9798673285862,$18.95,$18.95
682,Python Programming: The Ultimate Beginners Guide to the...,K. Connors,https://bookshop.org//books/python-programming-the-ultimate-beginners-guide-to-the-python-programming-language-9781974653300/9781974653300,$16.38,$16.38
683,Learn Python Programming: A Beginners Crash Course on Python...,Russel R. Russo,https://bookshop.org//books/learn-python-programming-a-beginners-crash-course-on-python-language-for-getting-started-with-machine-learning-data-science-and-data-analytics-9781801118606/9781801118606,$21.97,$20.21
684,Linux and Python for Beginners New Edition: This Book...,Michael Learn,https://bookshop.org//books/linux-and-python-for-beginners-new-edition-this-book-includes-linux-for-beginners-learn-python-programming-9781802260960/9781802260960,$29.99,$27.59
685,Python Programming for Beginners - 5 in 1 Crash Course:...,Martin Evans,https://bookshop.org//books/python-programming-for-beginners-5-in-1-crash-course-unlock-the-huge-possibilities-of-python-with-practical-applications-to-data-analysis-algorith/9791280320209,$19.95,$18.35
686,Learn programming python for beginners: The Ultimate and...,Lewis Smith,https://bookshop.org//books/learn-programming-python-for-beginners-the-ultimate-and-complete-tutorial-to-easily-get-the-python-intermediate-level-with-step-by-step-practical-exe-9781802168976/9781802168976,$31.99,$29.43
687,Python Data Analytics: The Ultimate Guide To Get Started With...,Stephen Ward,https://bookshop.org//books/python-data-analytics-the-ultimate-guide-to-get-started-with-data-analysis-using-python-numpy-and-pandas-9781801096812/9781801096812,$19.99,$18.39
688,Python for Beginners: The Crash Course to Learn Programming...,Marc Matthes,https://bookshop.org//books/python-for-beginners-the-crash-course-to-learn-programming-python-faster-and-remember-it-longer-includes-exercises-for-machine-learning-d-9781953900593/9781953900593,$23.95,$22.03
689,Coding: 3 Manuscripts in 1 book: - Python For Beginners -...,Timothy C. Needham,https://bookshop.org//books/coding-3-manuscripts-in-1-book-python-for-beginners-python-3-guide-learn-java/9781728913728,$29.95,$29.95
690,Python Coding and Programming: Start to learn the hard core...,Michael Learn,https://bookshop.org//books/python-coding-and-programming-start-to-learn-the-hard-core-of-computer-programming-data-analysis-and-coding-project-in-python-163d99b5-a1a8-4939-acb9-9858e2383ae6/9781802260946,$22.99,$21.15
691,"Python for Data Analysis: A Complete Guide for Beginners,...",Computer Science Academy,https://bookshop.org//books/python-for-data-analysis-a-complete-guide-for-beginners-including-python-statistics-and-big-data-analysis-9781801255264/9781801255264,$19.99,$18.39
692,Learn programming python for beginners: The Ultimate and...,Lewis Smith,https://bookshop.org//books/learn-programming-python-for-beginners-the-ultimate-and-complete-tutorial-to-easily-get-the-python-intermediate-level-with-step-by-step-practical-exe-9781802168976/9781802168976,$31.99,$29.43
693,Python Data Analytics: The Ultimate Guide To Get Started With...,Stephen Ward,https://bookshop.org//books/python-data-analytics-the-ultimate-guide-to-get-started-with-data-analysis-using-python-numpy-and-pandas-9781801096812/9781801096812,$19.99,$18.39
694,Python for Beginners: The Crash Course to Learn Programming...,Marc Matthes,https://bookshop.org//books/python-for-beginners-the-crash-course-to-learn-programming-python-faster-and-remember-it-longer-includes-exercises-for-machine-learning-d-9781953900593/9781953900593,$23.95,$22.03
695,Kivy: Interactive Applications in Python,Roberto Ulloa Rodriguez,https://bookshop.org//books/kivy-interactive-applications-in-python/9781783281596,$41.99,$41.99
